pathway_name,pathway_source,num_overlapping_genes,overlapping_genes,num_all_pathway_genes,P_genes,Q_genes,num_overlapping_metabolites,overlapping_metabolites,num_all_pathway_metabolites,P_metabolites,Q_metabolites,P_joint,Q_joint
eicosapentaenoate biosynthesis,HumanCyc,7,ACSL1;FADS2;ACSM5;ACSM3;FADS1;ACOT1;ACSM1,13 (13),0.00063,0.00933,0,,13 (17),1,1,0.00527,0.0555
Glutathione synthesis and recycling,Reactome,7,GGT1;GCLM;GGT6;CHAC1;OPLAH;GGT7;CHAC2,13 (13),0.00063,0.00933,0,,13 (14),1,1,0.00527,0.0555
sarcosine oncometabolite pathway ,SMPDB,7,SLC44A2;SHMT1;DMGDH;CHDH;BHMT;SARDH;ALDH7A1,13 (13),0.00063,0.00933,0,,25 (26),1,1,0.00527,0.0555
EGF-Ncore,Signalink,15,KSR1;MBIP;FLNA;CNKSR1;INPP5D;DUSP1;DUSP10;DUSP4;DUSP5;ARRB1;DUSP8;SMAD6;MTSS1;SH3RF1;SIRPA,56 (56),0.00571,0.0576,0,,0 (0),1,1,0.00571,0.0576
Extracellular vesicles in the crosstalk of cardiac cells,Wikipathways,8,ETS2;CD63;SPP1;GATA4;KDR;HSPB1;TLR4;MMP9,22 (22),0.00574,0.0576,0,,0 (0),1,1,0.00574,0.0576
Alanine_ aspartate and glutamate metabolism - Homo sapiens (human),KEGG,13,GLUL;GPT2;GPT;AGXT2;ALDH5A1;AGXT;DDO;ABAT;GOT1;GOT2;GLUD1;ASPA;CPS1,37 (37),0.000671,0.00985,0,,25 (28),1,1,0.00557,0.0585
Toxoplasmosis - Homo sapiens (human),KEGG,28,TGFB2;TGFB3;IFNGR1;MAPK12;CIITA;LAMA5;NFKBIA;TLR4;LAMA2;IKBKG;LAMA4;ITGA6;LAMB1;LAMB2;LAMB3;LAMC1;LAMC2;LAMC3;CCR5;BCL2;MAPK11;MAPK13;HSPA1A;HSPA1B;HSPA1L;GNAI1;ALOX5;CHUK,112 (112),0.000674,0.00986,0,,3 (3),1,1,0.00559,0.0585
BMP receptor signaling,PID,12,RGMA;AHSG;RGMB;CTDSPL;BMP2;CHRDL1;BAMBI;BMP6;SMAD1;GREM1;SMAD6;SMAD9,41 (41),0.00603,0.0603,0,,0 (0),1,1,0.00603,0.0603
BCR,NetPath,28,BLK;DOK1;GTF2I;CD5;CD19;CHST15;NFATC2;BCAR1;FOSB;RASGRP3;NFKBIA;PIP4K2A;BLNK;CD79A;CD79B;BTLA;CARD11;PRKCQ;PLCG2;LCK;FCGR2B;CR2;PTPN18;SH2B2;BANK1;VAV1;CD22;CHUK,129 (129),0.00615,0.0613,0,,0 (0),1,1,0.00615,0.0613
tryptophan degradation to 2-amino-3-carboxymuconate semialdehyde,HumanCyc,5,IDO2;KMO;AFMID;KYNU;TDO2,7 (7),0.000715,0.0104,0,,12 (13),1,1,0.00589,0.0614
Chemokine receptors bind chemokines,Reactome,16,CXCL13;CXCL5;CXCR6;CXCL2;CXCL3;CCL2;CXCR4;CCR2;ACKR3;CXCR3;CCR5;PXMP2;CCL11;ACKR2;CYP26B1;CX3CL1,62 (62),0.00649,0.0633,0,,0 (0),1,1,0.00649,0.0633
alternative complement pathway,BioCarta,6,C3;C6;C7;C8A;C8B;C9,10 (10),0.000745,0.0107,0,,2 (2),1,1,0.00611,0.0633
Trans-sulfuration pathway,Wikipathways,6,MPST;GCLM;CBS;CTH;GOT1;AHCY,10 (10),0.000745,0.0107,0,,14 (14),1,1,0.00611,0.0633
Glycosaminoglycan biosynthesis - keratan sulfate - Homo sapiens (human),KEGG,6,B4GALT2;FUT8;B3GNT7;ST3GAL2;CHST1;CHST2,14 (14),0.0066,0.0637,0,,0 (0),1,1,0.0066,0.0637
Glycerolipid metabolism - Homo sapiens (human),KEGG,18,ALDH3A2;PLPP5;PLPP1;PLPP2;LCLAT1;DGAT2;GPAT4;GPAM;MGLL;PNPLA3;ALDH7A1;GK;TKFC;AKR1B10;GPAT3;MBOAT1;GLYCTK;ALDH9A1,61 (61),0.000773,0.0111,0,,13 (38),1,1,0.00631,0.0651
Cell-Cell communication,Reactome,30,ITGB4;PARD6B;FLNA;FLNC;COL17A1;CLDN1;CLDN2;PVR;ITGA6;LAMB3;LAMC2;CLDN5;PARVB;SIRPA;CLDN7;ACTN2;ACTN3;ASB15;FBLIM1;PARD3;CDH3;CDH5;CLDN12;VASP;CDH11;ARHGEF6;CDH13;CDH17;CLDN4;IQGAP1,124 (124),0.000793,0.0113,0,,3 (4),1,1,0.00645,0.0661
Platelet activation - Homo sapiens (human),KEGG,30,COL3A1;ADCY4;VWF;MAPK12;MYLK3;GUCY1A1;GUCY1B1;FGA;FGB;MYLK2;ACTG1;GNAI1;PLCB4;PLA2G4F;PLCG2;FGG;ARHGAP35;MAPK11;PLA2G4E;MAPK13;PTGIR;ADCY2;NOS3;VASP;ADCY9;ITPR3;APBB1IP;FERMT3;COL1A1;COL1A2,124 (124),0.000793,0.0113,0,,14 (14),1,1,0.00645,0.0661
Beta2 integrin cell surface interactions,PID,11,ITGAL;FGB;FGA;ITGB2;C3;KNG1;JAM3;ICAM2;ITGAM;FGG;THY1,29 (29),0.000828,0.0118,0,,1 (1),1,1,0.0067,0.0685
Pyruvate metabolism - Homo sapiens (human),KEGG,15,ALDH3A2;PKLR;PKM;ACAT1;ME1;ME2;LDHB;PCK1;LDHA;ACSS1;ALDH7A1;ME3;ADH4;ACOT12;ALDH9A1,47 (47),0.00085,0.012,0,,26 (32),1,1,0.00686,0.0696
agrin in postsynaptic differentiation,BioCarta,15,PAK1;LAMC1;LAMA2;LAMA4;PAK3;LAMB1;LAMB2;LAMB3;LAMA5;LAMC2;LAMC3;ARHGEF6;ACTA1;PAK6;ARHGEF7,47 (47),0.00085,0.012,0,,2 (2),1,1,0.00686,0.0696
Validated transcriptional targets of deltaNp63 isoforms,PID,13,PERP;ADA;COL5A1;POU2F2;RUNX1;BDKRB2;FOSL2;WWP1;SEC14L2;SFN;ITGA3;RRAD;VDR,47 (47),0.00732,0.0697,0,,0 (0),1,1,0.00732,0.0697
Heart Development,Wikipathways,13,VEGFC;TBX20;GATA4;GATA6;NFATC2;BMP10;NFATC4;BMP2;SRF;MEF2C;TBX1;SMAD1;FOXC2,47 (47),0.00732,0.0697,0,,0 (0),1,1,0.00732,0.0697
Disulfiram Action Pathway,SMPDB,10,CYP2E1;FAH;HGD;GSTZ1;DDC;CAT;TAT;ACSS1;GOT1;HPD,25 (25),0.000877,0.0124,0,,72 (77),1,1,0.00705,0.0714
Pantothenate and CoA biosynthesis - Homo sapiens (human),KEGG,9,ALDH3A2;BCAT1;VNN1;DPYD;DPYS;UPB1;VNN3;ENPP1;PANK1,21 (21),0.000881,0.0124,0,,24 (30),1,1,0.00708,0.0714
T-Cell antigen Receptor (TCR) pathway during Staphylococcus aureus infection,Wikipathways,14,LAT;PAK1;IKBKG;CD8A;CARD11;CD3D;PRKCQ;CTLA4;NFKBIA;GRAP2;CHUK;LCK;CHP1;NFATC2,63 (63),0.0369,0.225,1,HMDB0009888,3 (3),0.024,1,0.0071,0.0714
NRF2 pathway,Wikipathways,30,TGFB2;SLC2A10;TGFBR2;SRXN1;HGF;SLC6A13;UGT1A1;ABCC4;SLC2A9;PDGFB;EGR1;GCLM;HBEGF;SLC6A9;GPX3;NQO1;CES4A;MAFF;PPARD;ABCC2;HSPA1A;CBR3;ME1;SLC39A5;SLC2A2;PRDX6;SLC2A4;GGT1;EPHA3;SLC5A1,143 (143),0.00777,0.0728,0,,0 (1),1,1,0.00777,0.0728
PDGF receptor signaling network,PID,4,PDGFB;PDGFRA;PDGFD;PDGFRB,7 (7),0.00804,0.0742,0,,0 (0),1,1,0.00804,0.0742
NOTCH-Ncore,Signalink,9,BHLHE41;ADAM10;DLL4;DTX1;MFNG;LFNG;NOTCH4;ARRB1;NUMBL,28 (28),0.00864,0.0775,0,,0 (0),1,1,0.00864,0.0775
Proteoglycan syndecan-mediated signaling events,PID,3,SDC3;SDC1;SDC2,4 (4),0.00866,0.0775,0,,0 (0),1,1,0.00866,0.0775
generation of amyloid b-peptide by ps1,BioCarta,3,BACE1;ADAM10;APP,4 (4),0.00866,0.0775,0,,0 (0),1,1,0.00866,0.0775
IL-18 signaling pathway,Wikipathways,51,COL3A1;SEMA6C;SPP1;BMP2;EPS8;PYGB;MYH7;PTPN7;KIFC3;BTG2;FN1;HOXD8;TIMP3;HSPB8;LONP2;NR4A1;SPON1;MMP9;NFKBIA;ACTA1;ACTA2;DES;CCL2;ZDHHC7;TMSB4X;NFATC4;NCF2;LTB;ATF3;BCL2;ADAMTS5;HADH;LCK;CPT1A;IL1B;MMP13;MMP2;CXCL2;CXCL3;GPAT4;CLDN12;PTGS2;SNTB1;HSPB1;CLDN1;CLDN4;S1PR4;CHUK;COL1A1;COL1A2;ARG1,274 (274),0.00875,0.0782,0,,0 (0),1,1,0.00875,0.0782
superpathway of tryptophan utilization,HumanCyc,14,ALDH3A2;MAOB;AFMID;DHTKD1;CYP1B1;IDO2;DDC;KYNU;QPRT;KMO;TDO2;CYP2S1;NADSYN1;ACMSD,43 (43),0.00101,0.014,0,,59 (70),1,1,0.00795,0.0797
Sphingolipid de novo biosynthesis,Reactome,10,ALDH3A2;PLPP1;PLPP2;ACER2;PRKD2;PRKD3;CERS4;CERS2;CERS5;SGMS1,41 (41),0.0407,0.231,2,HMDB0013461;HMDB0006752,31 (35),0.0249,1,0.00801,0.08
Pyruvate metabolism,INOH,12,ALDH3A2;PKLR;LDHA;ACAT1;ME1;ME2;LDHB;PKM;ALDH7A1;ALDH1A2;ME3;ALDH9A1,34 (34),0.00103,0.0142,0,,30 (31),1,1,0.00808,0.0805
TGF-beta super family signaling pathway canonical,INOH,25,TGFB2;TGFB3;TGFBR2;BMP2;BMP5;BMP6;INHBE;MAPK12;BMP10;INHBC;MAPK7;WT1;PSMD1;ACVR1B;ACVRL1;MAPK11;GDF2;MAPK13;GDF10;HDAC7;MAML1;SMAD1;SMAD3;SMAD6;SMAD9,115 (115),0.0091,0.0805,0,,0 (0),1,1,0.0091,0.0805
Phase I - Functionalization of compounds,Reactome,25,CMBL;CYP1A1;CYP1B1;AADAC;FMO1;FMO2;FMO3;CYP26B1;MAOB;CYP2E1;CYP4B1;CYP7A1;CYP8B1;ACSS1;CYB5B;CYP26A1;ARNT2;AOC3;AHR;CYP2R1;CYP2S1;CYP39A1;CBR3;PTGIS;ADH4,101 (101),0.00148,0.0196,1,HMDB0001860,143 (191),0.695,1,0.00812,0.0806
ceramide signaling pathway,BioCarta,8,IKBKG;AIFM1;KSR1;BCL2;MAP3K1;NFKBIA;BAG4;CHUK,33 (33),0.0656,0.31,1,HMDB0013461,2 (2),0.016,1,0.00826,0.0817
Hematopoietic cell lineage - Homo sapiens (human),KEGG,22,IL11;CD2;CD3D;CD5;CD8A;ANPEP;MS4A1;CD22;CD34;CD37;CD55;ITGA6;CD19;MME;CR2;ITGA3;ITGA5;IL1B;ITGAM;KIT;IL3RA;IL9R,98 (99),0.00951,0.0833,0,,0 (0),1,1,0.00951,0.0833
Nicotinate and Nicotinamide Metabolism,SMPDB,7,NNMT;NNT;BST1;ENPP1;QPRT;NADSYN1;NUDT12,14 (14),0.00111,0.0154,0,,34 (35),1,1,0.00869,0.0857
cGMP-PKG signaling pathway - Homo sapiens (human),KEGG,37,ADORA1;CACNA1C;CACNA1D;CACNA1S;SRF;MYH7;PDE3A;PDE3B;GTF2I;ADRB2;MYLK3;MEF2C;SLC25A4;NFATC2;GUCY1A1;GUCY1B1;NFATC4;KNG1;BDKRB2;GATA4;KCNMB1;ADCY4;GNAI1;PLCB4;CREB3L3;ATP1A2;NPR1;ATP2A3;ATP2A1;ADCY2;ATP2B4;NOS3;VASP;ADCY9;MYLK2;ADRA1A;ITPR3,167 (167),0.00124,0.017,0,,10 (10),1,1,0.00954,0.0938
Activation of Matrix Metalloproteinases,Reactome,9,MMP13;TIMP2;MMP17;MMP7;KLKB1;MMP2;PLG;MMP9;CMA1,29 (29),0.0111,0.0945,0,,0 (0),1,1,0.0111,0.0945
Taurine and hypotaurine metabolism - Homo sapiens (human),KEGG,5,BAAT;CDO1;GGT7;GGT1;GGT6,11 (11),0.00987,0.0854,1,HMDB0000036,18 (22),0.136,1,0.0102,0.0999
HIF-1-alpha transcription factor network,PID,16,GATA2;ALDOA;LDHA;HNF4A;BHLHE41;ITGB2;HDAC7;BNIP3;PKM;ABCG2;CXCR4;SMAD3;TFF3;CP;PLIN2;IGFBP1,66 (66),0.0121,0.1,0,,0 (0),1,1,0.0121,0.1
HH-Ncore,Signalink,7,BOC;CDO1;HHIP;ARRB1;GAS1;MTSS1;GPC3,20 (20),0.0121,0.1,0,,0 (0),1,1,0.0121,0.1
Insulin Signaling,Wikipathways,32,PPP1R3A;SGK2;IGF1R;TBC1D4;MAPK12;SHC2;PTPRF;RHOJ;EGR1;PIK3C2G;STXBP1;SGK1;ENPP1;MAP4K1;RPS6KA2;GYS2;PRKAA2;SRF;GRB10;GRB14;PRKCH;PRKCQ;RRAD;MAPK7;MAPK11;MAPK13;MAP3K6;SH2B2;SLC2A4;MAP3K1;MAP3K3;EHD2,160 (160),0.0124,0.103,0,,0 (0),1,1,0.0124,0.103
NCAM signaling for neurite out-growth,Reactome,17,COL4A1;CACNA1S;COL4A2;COL4A4;CACNA1C;CACNA1D;COL6A5;COL6A1;COL6A2;COL6A3;CACNB1;CACNA1I;GFRA1;GFRA2;FGFR1;SPTB;SPTBN2,59 (59),0.00143,0.019,0,,5 (7),1,1,0.0108,0.103
Synthesis and Degradation of Ketone Bodies,Wikipathways,4,BDH1;OXCT1;HMGCS2;ACAT1,5 (5),0.00144,0.019,0,,4 (5),1,1,0.0108,0.103
glycine betaine degradation,HumanCyc,4,BHMT;SHMT1;SARDH;DMGDH,5 (5),0.00144,0.019,0,,11 (11),1,1,0.0108,0.103
fatty acid &alpha;-oxidation,HumanCyc,4,PHYH;ALDH3A2;ACSL1;SLC27A2,5 (5),0.00144,0.019,0,,19 (20),1,1,0.0108,0.103
Beta oxidation of lauroyl-CoA to decanoyl-CoA-CoA,Reactome,4,HADHB;ACADL;HADHA;HADH,5 (5),0.00144,0.019,0,,13 (13),1,1,0.0108,0.103
Beta oxidation of octanoyl-CoA to hexanoyl-CoA,Reactome,4,HADHB;HADH;ACADM;HADHA,5 (5),0.00144,0.019,0,,13 (13),1,1,0.0108,0.103
Arachidonate production from DAG,Reactome,4,DAGLB;DAGLA;ABHD6;MGLL,5 (5),0.00144,0.019,0,,5 (8),1,1,0.0108,0.103
Succinyl CoA: 3-ketoacid CoA transferase deficiency,SMPDB,4,BDH1;OXCT1;HMGCS2;ACAT1,5 (5),0.00144,0.019,0,,13 (13),1,1,0.0108,0.103
Ketone Body Metabolism,SMPDB,4,BDH1;OXCT1;HMGCS2;ACAT1,5 (5),0.00144,0.019,0,,13 (13),1,1,0.0108,0.103
MAPK Signaling Pathway,Wikipathways,50,TGFB2;TGFB3;CACNA1C;TGFBR2;CACNA1S;FLNA;CACNA2D1;FLNC;IL1B;PTPN7;ARRB1;ARRB2;MAPK12;PDGFB;PDGFRB;MAP4K1;CACNA1D;DUSP1;RASGRP3;FGF21;DUSP4;NTRK2;DUSP7;DUSP8;SRF;NGF;IKBKG;FGF1;FGF2;CACNB1;CACNA1I;RELB;FGFR1;PLA2G4F;NR4A1;MAPK7;MAPK11;PLA2G4E;MAPK13;PAK1;HSPA1A;MAP3K6;HSPA1L;CACNG1;MEF2C;HSPA1B;HSPB1;MAP3K1;CHUK;DUSP10,246 (246),0.00153,0.0201,0,,5 (5),1,1,0.0114,0.109
Relaxin signaling pathway - Homo sapiens (human),KEGG,30,VEGFC;COL3A1;COL4A1;COL4A2;COL4A4;TGFBR2;ADCY4;ARRB1;ARRB2;MAPK12;SHC2;NFKBIA;GNB5;ACTA2;GNAI1;MAPK13;PLCB4;MMP2;CREB3L3;MMP9;MAPK11;MMP13;GNG2;GNG11;GNGT2;ADCY2;NOS3;ADCY9;COL1A1;COL1A2,129 (129),0.00156,0.0204,0,,6 (6),1,1,0.0116,0.11
Cell-extracellular matrix interactions,Reactome,6,FLNA;FLNC;VASP;ARHGEF6;PARVB;FBLIM1,16 (16),0.0139,0.112,0,,0 (1),1,1,0.0139,0.112
bone remodeling,BioCarta,6,IKBKG;TNFRSF11A;FOSL2;NFKBIA;CHUK;FOSL1,16 (16),0.0139,0.112,0,,0 (0),1,1,0.0139,0.112
Ligand-receptor interactions,Reactome,4,CDON;GAS1;BOC;HHIP,8 (8),0.0144,0.114,0,,0 (0),1,1,0.0144,0.114
Warburg Effect,SMPDB,14,PKLR;SUCLG1;PKM;ALDOB;SLC16A1;SUCLG2;PGAM2;SLC1A5;DLST;ACO1;SLC2A2;RPIA;IDH1;GLUD1,45 (45),0.00165,0.0216,0,,52 (58),1,1,0.0122,0.116
Linoleic acid (LA) metabolism,Reactome,5,FADS1;ELOVL5;ELOVL2;ACSL1;FADS2,8 (8),0.0017,0.0219,0,,19 (24),1,1,0.0125,0.117
Mitochondrial Beta-Oxidation of Short Chain Saturated Fatty Acids,SMPDB,5,HADH;ACSS3;HSD17B10;ACAT1;ACADL,8 (8),0.0017,0.0219,0,,19 (19),1,1,0.0125,0.117
Short-chain 3-hydroxyacyl-CoA dehydrogenase deficiency (SCHAD),SMPDB,5,HADH;ACSS3;HSD17B10;ACAT1;ACADL,8 (8),0.0017,0.0219,0,,19 (19),1,1,0.0125,0.117
Butyrate Metabolism,SMPDB,5,HADH;OXCT1;HMGCS2;ACAT1;ACSM1,8 (8),0.0017,0.0219,0,,19 (19),1,1,0.0125,0.117
Biosynthesis of electrophilic ?-3 PUFA oxo-derivatives,Reactome,2,ALOX5;PTGS2,2 (2),0.018,0.135,1,HMDB0002183,13 (28),0.0999,1,0.0131,0.122
RHO GTPase cycle,Reactome,81,FMNL3;DOCK11;LMAN1;VIM;ARHGAP1;STK10;CCP110;MYO6;ARAP3;PAK1;DLG5;SH3RF1;STARD13;PLXND1;ARHGDIB;STARD8;ARHGEF28;CKAP4;WAS;FAM13A;LMNB1;BAIAP2L1;IQGAP2;RHOJ;GFOD1;ARHGEF6;DSP;MYO9A;ARHGAP31;PAK3;ARHGEF7;ARHGAP35;PLEKHG1;TEX2;WASF2;CDC42SE2;ARHGAP4;WASF3;ARHGEF2;ACBD5;FMNL1;PAK6;ABCD3;MCAM;FGD1;ACTG1;KIF14;ARHGAP9;FGD2;NCF2;OBSCN;ARHGAP25;ASB15;CAVIN1;ARHGAP27;CAV1;LBR;LCK;DBT;MCF2L;ALDH3A2;CHN2;DEF6;ARHGEF17;ARHGEF25;ARHGAP45;FGD5;GJA1;CDC42EP3;PCDH7;PREX1;RHOF;SLC1A5;SYDE1;VAV1;PREX2;DLC1;FGD3;IQGAP1;ARHGAP10;FARP2,442 (442),0.00185,0.0238,0,,6 (6),1,1,0.0135,0.125
p130Cas linkage to MAPK signaling for integrins,Reactome,7,FGA;FGB;APBB1IP;FGG;BCAR1;VWF;FN1,15 (15),0.00185,0.0238,0,,6 (8),1,1,0.0135,0.125
2-Hydroxyglutric Aciduria (D And L Form),SMPDB,9,GLUL;GCLM;ALDH5A1;ABAT;GOT2;NADSYN1;GLUD1;GPT;CPS1,23 (23),0.00191,0.024,0,,47 (49),1,1,0.0138,0.126
Homocarnosinosis,SMPDB,9,GLUL;GCLM;ALDH5A1;ABAT;GOT2;NADSYN1;GLUD1;GPT;CPS1,23 (23),0.00191,0.024,0,,47 (49),1,1,0.0138,0.126
Hyperinsulinism-Hyperammonemia Syndrome,SMPDB,9,GLUL;GCLM;ALDH5A1;ABAT;GOT2;NADSYN1;GLUD1;GPT;CPS1,23 (23),0.00191,0.024,0,,47 (49),1,1,0.0138,0.126
Succinic semialdehyde dehydrogenase deficiency,SMPDB,9,GLUL;GCLM;ALDH5A1;ABAT;GOT2;NADSYN1;GLUD1;GPT;CPS1,23 (23),0.00191,0.024,0,,47 (49),1,1,0.0138,0.126
4-Hydroxybutyric Aciduria/Succinic Semialdehyde Dehydrogenase Deficiency,SMPDB,9,GLUL;GCLM;ALDH5A1;ABAT;GOT2;NADSYN1;GLUD1;GPT;CPS1,23 (23),0.00191,0.024,0,,47 (49),1,1,0.0138,0.126
Glutamate Metabolism,SMPDB,9,GLUL;GCLM;ALDH5A1;ABAT;GOT2;NADSYN1;GLUD1;GPT;CPS1,23 (23),0.00191,0.024,0,,47 (49),1,1,0.0138,0.126
Ceramide signalling,Reactome,2,NGF;NGFR,3 (3),0.0491,0.254,1,HMDB0013461,5 (5),0.0396,1,0.0141,0.128
Scavenging by Class A Receptors,Reactome,8,MSR1;COL4A1;COL4A2;COL3A1;MARCO;APOB;COL1A1;COL1A2,19 (19),0.00196,0.0246,0,,11 (32),1,1,0.0142,0.128
Sphingolipid signaling pathway - Homo sapiens (human),KEGG,18,MAPK11;MAPK13;CERS2;ACER2;ADORA1;S1PR2;BDKRB2;GNAI1;KNG1;BCL2;NOS3;GAB2;CERS4;PLCB4;CERS5;MAPK12;S1PR4;SGMS1,119 (119),0.328,0.832,2,HMDB0006752;HMDB0013461,15 (15),0.00608,1,0.0144,0.13
Photodynamic therapy-induced HIF-1 survival signaling,Wikipathways,10,TGFB3;BAK1;LDHA;SLC16A1;IGFBP1;PTGS2;PKM;PMAIP1;BNIP3;ANGPT1,36 (36),0.0171,0.134,0,,0 (0),1,1,0.0171,0.134
ALK1 signaling events,PID,8,GDF2;TGFB3;TGFBR2;SMAD1;CAV1;ARRB2;SMAD9;ACVRL1,26 (26),0.0172,0.134,0,,0 (0),1,1,0.0172,0.134
Cholesterol metabolism (includes both Bloch and Kandutsch-Russell pathways),Wikipathways,14,ELOVL5;ACSL1;HSD17B7;FADS2;ELOVL2;ACOT2;DHCR24;FADS1;TM7SF2;LBR;HMGCS2;NSDHL;IDI1;SC5D,46 (46),0.00209,0.0259,0,,4 (4),1,1,0.015,0.134
Regulation of RhoA activity,PID,14,OBSCN;DLC1;ARHGEF17;ARHGEF25;ARHGAP35;ARHGEF28;ARHGAP4;ARAP3;ARHGAP9;ARHGDIB;VAV1;DEF6;ARHGEF2;MCF2L,46 (46),0.00209,0.0259,0,,3 (3),1,1,0.015,0.134
Matrix Metalloproteinases,Wikipathways,9,MMP12;MMP13;TIMP2;TIMP3;TIMP4;MMP17;MMP2;MMP7;MMP9,31 (31),0.0174,0.135,0,,0 (0),1,1,0.0174,0.135
Transport of connexons to the plasma membrane,Reactome,2,GJA1;GJB2,2 (2),0.018,0.135,0,,0 (1),1,1,0.018,0.135
NFG and proNGF binds to p75NTR,Reactome,2,NGF;NGFR,2 (2),0.018,0.135,0,,0 (0),1,1,0.018,0.135
Glycerophospholipid biosynthesis,Reactome,28,GPD1;ACP6;MFSD2A;GPAT3;MBOAT1;CHPT1;PLA1A;DGAT2;ETNK2;BCHE;OSBPL5;SLC44A2;ABHD3;LPCAT4;LPGAT1;GPAM;MGLL;PNPLA8;PNPLA3;PLA2G6;HADHA;HADHB;SELENOI;DDHD2;PLA2G4E;GPAT4;LCLAT1;PLA2G4F,130 (130),0.00687,0.0659,1,HMDB0010404,47 (94),0.318,1,0.0156,0.139
Primary immunodeficiency - Homo sapiens (human),KEGG,10,BLNK;TNFRSF13C;ADA;IKBKG;CD19;CD79A;CD3D;LCK;CD8A;CIITA,37 (38),0.0207,0.146,0,,0 (0),1,1,0.0207,0.146
Vitamin D in inflammatory diseases,Wikipathways,7,IKBKG;NFKBIA;DUSP1;MAP3K1;SMAD3;CHUK;VDR,22 (22),0.021,0.146,0,,0 (1),1,1,0.021,0.146
Methionine metabolism leading to sulfur amino acids and related disorders,Wikipathways,3,CBS;ADK;CTH,3 (3),0.00241,0.029,0,,16 (21),1,1,0.0169,0.147
COVID-19_ thrombosis and anticoagulation,Wikipathways,3,FGG;FGA;FGB,3 (3),0.00241,0.029,0,,1 (5),1,1,0.0169,0.147
uracil degradation,HumanCyc,3,UPB1;DPYD;DPYS,3 (3),0.00241,0.029,0,,10 (10),1,1,0.0169,0.147
Beta oxidation of palmitoyl-CoA to myristoyl-CoA,Reactome,3,HADHB;ACADVL;HADHA,3 (3),0.00241,0.029,0,,13 (13),1,1,0.0169,0.147
Beta oxidation of myristoyl-CoA to lauroyl-CoA,Reactome,3,HADHB;ACADL;HADHA,3 (3),0.00241,0.029,0,,13 (13),1,1,0.0169,0.147
thymine degradation,HumanCyc,3,UPB1;DPYD;DPYS,3 (3),0.00241,0.029,0,,10 (10),1,1,0.0169,0.147
FMO oxidises nucleophiles,Reactome,3,FMO3;FMO1;FMO2,3 (3),0.00241,0.029,0,,12 (13),1,1,0.0169,0.147
Formation of the active cofactor_ UDP-glucuronate,Reactome,3,UGP2;SLC35D1;UGDH,3 (3),0.00241,0.029,0,,10 (10),1,1,0.0169,0.147
Keratan sulfate biosynthesis,Reactome,10,B4GALT2;FMOD;OGN;ST3GAL2;B3GNT7;B4GALT6;CHST1;CHST2;B3GNT3;OMD,28 (28),0.00241,0.029,0,,9 (9),1,1,0.0169,0.147
Mammary gland development pathway - Puberty (Stage 2 of 4),Wikipathways,5,ERBB2;VIM;NRIP1;FOSL1;FN1,13 (13),0.0218,0.151,0,,0 (1),1,1,0.0218,0.151
Plasma lipoprotein assembly_ remodeling_ and clearance,Reactome,14,NPC1;ANGPTL3;MTTP;LCAT;VLDLR;NCEH1;APOA4;APOB;LIPA;SCARB1;PCSK6;CREB3L3;HDLBP;ALB,60 (60),0.0251,0.17,1,HMDB0010404,13 (21),0.0999,1,0.0175,0.152
actions of nitric oxide in the heart,BioCarta,13,PDE3A;GUCY1A1;FLT4;GUCY1B1;PRKAR2A;PRKAR1B;SLC7A1;NOS3;KDR;BDKRB2;KNG1;PDE3B;CAV1,42 (42),0.00252,0.0303,0,,9 (10),1,1,0.0176,0.152
ABC transporters - Homo sapiens (human),KEGG,13,ABCD3;ABCA6;ABCB11;DEFB1;ABCB4;ABCB6;ABCD2;ABCG5;ABCC4;ABCG2;ABCB7;ABCG8;ABCC2,45 (45),0.00491,0.0507,1,HMDB0039721,88 (138),0.515,1,0.0176,0.152
Omega-9 FA synthesis,Wikipathways,6,ELOVL5;ACSL1;FADS2;ELOVL2;ACOT2;FADS1,12 (12),0.00258,0.0307,0,,1 (1),1,1,0.018,0.154
Beta-oxidation of very long chain fatty acids,Reactome,6,EHHADH;DECR2;ACOX1;ECI2;ACOT4;HSD17B4,12 (12),0.00258,0.0307,0,,16 (26),1,1,0.018,0.154
Alanine and aspartate metabolism,Wikipathways,6,ASPA;ABAT;GOT1;GOT2;GPT;AGXT,12 (12),0.00258,0.0307,0,,19 (20),1,1,0.018,0.154
Biosynthesis of DHA-derived SPMs,Reactome,6,CYP2E1;EPHX2;CYP1A1;ALOX12;ALOX5;PTGS2,17 (17),0.0191,0.141,1,HMDB0002183,18 (75),0.136,1,0.018,0.154
Legionellosis - Homo sapiens (human),KEGG,16,HSPD1;ITGAM;IL1B;CXCL2;HSPA1L;HSPA1A;C3;EEF1A2;NFKBIA;PYCARD;ITGB2;CXCL3;BNIP3;TLR4;TLR5;HSPA1B,57 (57),0.00263,0.0313,0,,1 (2),1,1,0.0183,0.155
Glycosphingolipid metabolism,EHMN,8,PLPP1;ACER2;GAL3ST1;B4GALT6;SLC16A12;SMPD3;NUP35;SGMS1,69 (69),0.723,1,3,HMDB0010711;HMDB0006752;HMDB0013461,40 (52),0.00366,1,0.0184,0.156
Metabolism of Spingolipids in ER and Golgi apparatus,Wikipathways,0,,12 (12),1,1,2,HMDB0010711;HMDB0006752,10 (21),0.00267,1,0.0185,0.157
