pathway_name,pathway_source,num_overlapping_genes,overlapping_genes,num_all_pathway_genes,P_genes,Q_genes,num_overlapping_metabolites,overlapping_metabolites,num_all_pathway_metabolites,P_metabolites,Q_metabolites,P_joint,Q_joint
Gaucher Disease,SMPDB,0,,22 (22),1,1,3,HMDB0010711;HMDB0013461;HMDB0006752,38 (40),0.00316,1,0.0214,0.167
Globoid Cell Leukodystrophy,SMPDB,0,,22 (22),1,1,3,HMDB0010711;HMDB0013461;HMDB0006752,38 (40),0.00316,1,0.0214,0.167
Metachromatic Leukodystrophy (MLD),SMPDB,0,,22 (22),1,1,3,HMDB0010711;HMDB0013461;HMDB0006752,38 (40),0.00316,1,0.0214,0.167
Krabbe disease,SMPDB,0,,22 (22),1,1,3,HMDB0010711;HMDB0013461;HMDB0006752,38 (40),0.00316,1,0.0214,0.167
Panitumumab Action Pathway,SMPDB,1,EGFR,1 (1),0.00648,0.167,0,,0 (0),1,1,0.00648,0.167
Cetuximab Action Pathway,SMPDB,1,EGFR,1 (1),0.00648,0.167,0,,0 (0),1,1,0.00648,0.167
Trastuzumab Action Pathway,SMPDB,1,EGFR,1 (1),0.00648,0.167,0,,0 (0),1,1,0.00648,0.167
Gefitinib Action Pathway,SMPDB,1,EGFR,1 (1),0.00648,0.167,0,,0 (1),1,1,0.00648,0.167
Type II diabetes mellitus - Homo sapiens (human),KEGG,3,PKLR;SLC2A2;GCK,46 (46),0.00326,0.108,0,,4 (6),1,1,0.0219,0.171
Cerebral organic acidurias_ including diseases,Wikipathways,1,ALDH7A1,3 (3),0.0193,0.329,1,HMDB0001290,23 (27),0.17,1,0.0221,0.171
Tryptophan catabolism,Reactome,2,HAAO;IDO2,14 (14),0.00359,0.11,0,,31 (34),1,1,0.0238,0.171
Very-long-chain acyl coa dehydrogenase deficiency (VLCAD),SMPDB,2,ACADSB;ACSL1,14 (14),0.00359,0.11,0,,43 (43),1,1,0.0238,0.171
Medium chain acyl-coa dehydrogenase deficiency (MCAD),SMPDB,2,ACADSB;ACSL1,14 (14),0.00359,0.11,0,,43 (43),1,1,0.0238,0.171
Long chain acyl-CoA dehydrogenase deficiency (LCAD),SMPDB,2,ACADSB;ACSL1,14 (14),0.00359,0.11,0,,43 (43),1,1,0.0238,0.171
Trifunctional protein deficiency,SMPDB,2,ACADSB;ACSL1,14 (14),0.00359,0.11,0,,43 (43),1,1,0.0238,0.171
Carnitine palmitoyl transferase deficiency (II),SMPDB,2,ACADSB;ACSL1,14 (14),0.00359,0.11,0,,43 (43),1,1,0.0238,0.171
Short Chain Acyl CoA Dehydrogenase Deficiency (SCAD Deficiency),SMPDB,2,ACADSB;ACSL1,14 (14),0.00359,0.11,0,,43 (43),1,1,0.0238,0.171
Fatty acid Metabolism,SMPDB,2,ACADSB;ACSL1,14 (14),0.00359,0.11,0,,43 (43),1,1,0.0238,0.171
Glutaric Aciduria Type I,SMPDB,2,ACADSB;ACSL1,14 (14),0.00359,0.11,0,,43 (43),1,1,0.0238,0.171
Ethylmalonic Encephalopathy,SMPDB,2,ACADSB;ACSL1,14 (14),0.00359,0.11,0,,43 (43),1,1,0.0238,0.171
Carnitine palmitoyl transferase deficiency (I),SMPDB,2,ACADSB;ACSL1,14 (14),0.00359,0.11,0,,43 (43),1,1,0.0238,0.171
Glycosphingolipid metabolism,EHMN,0,,69 (69),1,1,3,HMDB0010711;HMDB0006752;HMDB0013461,40 (52),0.00366,1,0.0242,0.173
Sphingolipid metabolism,Reactome,1,HEXA,87 (87),0.433,1,3,HMDB0010711;HMDB0013461;HMDB0006752,54 (65),0.00856,1,0.0244,0.174
Valine_ leucine and isoleucine degradation,EHMN,3,ABAT;ACADSB;ALDH7A1,49 (49),0.0039,0.119,0,,52 (62),1,1,0.0255,0.18
Senescence and Autophagy in Cancer,Wikipathways,1,GSN,106 (106),0.499,1,1,HMDB0009888,1 (1),0.00805,1,0.0262,0.184
Glycolysis,SMPDB,2,PKLR;SLC2A2,15 (15),0.00412,0.124,0,,21 (24),1,1,0.0268,0.185
Glycogenosis_ Type VII. Tarui disease,SMPDB,2,PKLR;SLC2A2,15 (15),0.00412,0.124,0,,21 (24),1,1,0.0268,0.185
Fanconi-bickel syndrome,SMPDB,2,PKLR;SLC2A2,15 (15),0.00412,0.124,0,,21 (24),1,1,0.0268,0.185
Pyrimidine metabolism,Wikipathways,3,DPYS;UPB1;CTPS1,84 (84),0.0172,0.314,1,HMDB0000273,35 (40),0.248,1,0.0274,0.188
Extracellular vesicles in the crosstalk of cardiac cells,Wikipathways,2,EGFR;SORBS2,22 (22),0.0088,0.193,0,,0 (0),1,1,0.0088,0.193
Sphingolipid pathway,Wikipathways,0,,28 (28),1,1,2,HMDB0010711;HMDB0006752,13 (14),0.00456,1,0.0291,0.199
Bile secretion - Homo sapiens (human),KEGG,3,SLC10A1;SLC27A5;UGT2A3,90 (90),0.0206,0.345,2,HMDB0000036;HMDB0014487,112 (161),0.227,1,0.0297,0.2
FOXA2 pathway,Wikipathways,2,FASN;SLC27A5,16 (16),0.00469,0.137,0,,1 (1),1,1,0.0298,0.2
Phytanic acid peroxisomal oxidation,EHMN,2,ACSL1;HACL1,16 (16),0.00469,0.137,0,,21 (22),1,1,0.0298,0.2
nicotine degradation IV,HumanCyc,2,INMT;AOX1,17 (17),0.00529,0.154,0,,16 (28),1,1,0.033,0.22
Propanoate metabolism - Homo sapiens (human),KEGG,2,ABAT;ACSS2,34 (34),0.0203,0.342,1,HMDB0006805,38 (48),0.266,1,0.0336,0.223
Metabolism of water-soluble vitamins and cofactors,Reactome,4,ALDH1L1;FASN;AOX1;CYP8B1,111 (111),0.00581,0.161,0,,91 (125),1,1,0.0357,0.227
Propanoate metabolism,EHMN,2,ACADSB;ALDH7A1,18 (18),0.00593,0.161,0,,29 (33),1,1,0.0363,0.227
Tyrosine Metabolism,SMPDB,2,COMT;HAAO,18 (18),0.00593,0.161,0,,62 (67),1,1,0.0363,0.227
Fatty acid biosynthesis - Homo sapiens (human),KEGG,2,FASN;ACSL1,18 (18),0.00593,0.161,0,,10 (58),1,1,0.0363,0.227
Tyrosinemia_ transient_ of the newborn,SMPDB,2,COMT;HAAO,18 (18),0.00593,0.161,0,,62 (67),1,1,0.0363,0.227
Dopamine beta-hydroxylase deficiency,SMPDB,2,COMT;HAAO,18 (18),0.00593,0.161,0,,62 (67),1,1,0.0363,0.227
Alkaptonuria,SMPDB,2,COMT;HAAO,18 (18),0.00593,0.161,0,,62 (67),1,1,0.0363,0.227
Monoamine oxidase-a deficiency (MAO-A),SMPDB,2,COMT;HAAO,18 (18),0.00593,0.161,0,,62 (67),1,1,0.0363,0.227
Hawkinsinuria,SMPDB,2,COMT;HAAO,18 (18),0.00593,0.161,0,,62 (67),1,1,0.0363,0.227
Tyrosinemia Type I,SMPDB,2,COMT;HAAO,18 (18),0.00593,0.161,0,,62 (67),1,1,0.0363,0.227
Glutathione metabolism - Homo sapiens (human),KEGG,3,GPX7;GSTM3;GSTM4,57 (57),0.00597,0.161,0,,21 (38),1,1,0.0365,0.227
Sphingolipid signaling pathway - Homo sapiens (human),KEGG,0,,119 (119),1,1,2,HMDB0006752;HMDB0013461,15 (15),0.00608,1,0.0371,0.23
Metabolism of vitamins and cofactors,Reactome,5,APOA2;ALDH1L1;FASN;AOX1;CYP8B1,180 (180),0.00623,0.167,0,,136 (188),1,1,0.0379,0.233
Glycosphingolipid metabolism,Reactome,1,HEXA,46 (46),0.259,1,2,HMDB0010711;HMDB0013461,31 (38),0.0249,1,0.039,0.236
L-dopa degradation,HumanCyc,1,COMT,1 (1),0.00648,0.167,0,,13 (13),1,1,0.0391,0.236
Methylation of MeSeH for excretion,Reactome,1,INMT,1 (1),0.00648,0.167,0,,5 (6),1,1,0.0391,0.236
methylglyoxal degradation VI,HumanCyc,1,LDHD,1 (1),0.00648,0.167,0,,9 (9),1,1,0.0391,0.236
MTHFR deficiency,Wikipathways,1,COMT,10 (10),0.0629,0.701,1,HMDB0013461,14 (21),0.107,1,0.0405,0.243
PPAR-alpha pathway,Wikipathways,2,APOA2;CYP8B1,26 (26),0.0122,0.247,0,,0 (1),1,1,0.0122,0.247
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human),KEGG,3,GSTM3;GSTM4;UGT2A3,76 (78),0.0131,0.25,1,HMDB0060326,95 (121),0.542,1,0.0423,0.253
Steroid biosynthesis - Homo sapiens (human),KEGG,2,LBR;TM7SF2,20 (20),0.0073,0.187,0,,40 (58),1,1,0.0432,0.255
Aminosugars metabolism,INOH,2,GFPT1;GCK,20 (20),0.0073,0.187,0,,30 (32),1,1,0.0432,0.255
Transport of organic anions,Reactome,1,SLCO2B1,12 (12),0.075,0.755,1,HMDB0000036,13 (15),0.0999,1,0.0442,0.255
Oxidation by Cytochrome P450,Wikipathways,3,CYP27A1;CYP7B1;CYP8B1,62 (62),0.00754,0.192,0,,8 (8),1,1,0.0444,0.255
Synthesis of substrates in N-glycan biosythesis,Reactome,3,NPL;GFPT1;AMDHD2,63 (63),0.00788,0.193,0,,56 (69),1,1,0.046,0.255
fatty acid activation,HumanCyc,1,ACSL1,8 (8),0.0507,0.616,1,HMDB0002183,21 (38),0.157,1,0.0463,0.255
Glycine_ serine and threonine metabolism - Homo sapiens (human),KEGG,2,GNMT;ALDH7A1,40 (40),0.0276,0.426,1,HMDB0000128,42 (50),0.29,1,0.0466,0.255
Mono-unsaturated fatty acid beta-oxidation,EHMN,2,ACSL1;ACADSB,21 (21),0.00804,0.193,0,,12 (12),1,1,0.0468,0.255
Pantothenate and CoA biosynthesis - Homo sapiens (human),KEGG,2,UPB1;DPYS,21 (21),0.00804,0.193,0,,24 (30),1,1,0.0468,0.255
PI3K-AKT-mTOR signaling pathway and therapeutic opportunities,Wikipathways,0,,30 (30),1,1,1,HMDB0009888,1 (1),0.00805,1,0.0468,0.255
Histidine metabolism - Homo sapiens (human),KEGG,2,HNMT;ALDH7A1,22 (22),0.0088,0.193,0,,36 (47),1,1,0.0505,0.255
glutathione-mediated detoxification,HumanCyc,2,GSTM3;GSTM4,22 (22),0.0088,0.193,0,,14 (14),1,1,0.0505,0.255
Simvastatin Action Pathway,SMPDB,2,TM7SF2;MVK,22 (22),0.0088,0.193,0,,43 (47),1,1,0.0505,0.255
Pravastatin Action Pathway,SMPDB,2,TM7SF2;MVK,22 (22),0.0088,0.193,0,,44 (47),1,1,0.0505,0.255
Atorvastatin Action Pathway,SMPDB,2,TM7SF2;MVK,22 (22),0.0088,0.193,0,,44 (47),1,1,0.0505,0.255
Hyper-IgD syndrome,SMPDB,2,TM7SF2;MVK,22 (22),0.0088,0.193,0,,43 (46),1,1,0.0505,0.255
Cholesteryl ester storage disease,SMPDB,2,TM7SF2;MVK,22 (22),0.0088,0.193,0,,43 (46),1,1,0.0505,0.255
Lysosomal Acid Lipase Deficiency (Wolman Disease),SMPDB,2,TM7SF2;MVK,22 (22),0.0088,0.193,0,,43 (46),1,1,0.0505,0.255
Alendronate Action Pathway,SMPDB,2,TM7SF2;MVK,22 (22),0.0088,0.193,0,,44 (47),1,1,0.0505,0.255
Rosuvastatin Action Pathway,SMPDB,2,TM7SF2;MVK,22 (22),0.0088,0.193,0,,43 (47),1,1,0.0505,0.255
Lovastatin Action Pathway,SMPDB,2,TM7SF2;MVK,22 (22),0.0088,0.193,0,,44 (47),1,1,0.0505,0.255
Mevalonic aciduria,SMPDB,2,TM7SF2;MVK,22 (22),0.0088,0.193,0,,43 (46),1,1,0.0505,0.255
Wolman disease,SMPDB,2,TM7SF2;MVK,22 (22),0.0088,0.193,0,,43 (46),1,1,0.0505,0.255
Risedronate Action Pathway,SMPDB,2,TM7SF2;MVK,22 (22),0.0088,0.193,0,,44 (47),1,1,0.0505,0.255
Cerivastatin Action Pathway,SMPDB,2,TM7SF2;MVK,22 (22),0.0088,0.193,0,,43 (47),1,1,0.0505,0.255
Pamidronate Action Pathway,SMPDB,2,TM7SF2;MVK,22 (22),0.0088,0.193,0,,44 (47),1,1,0.0505,0.255
Fluvastatin Action Pathway,SMPDB,2,TM7SF2;MVK,22 (22),0.0088,0.193,0,,44 (47),1,1,0.0505,0.255
Smith-Lemli-Opitz Syndrome (SLOS),SMPDB,2,TM7SF2;MVK,22 (22),0.0088,0.193,0,,43 (46),1,1,0.0505,0.255
Chondrodysplasia Punctata II_ X Linked Dominant (CDPX2),SMPDB,2,TM7SF2;MVK,22 (22),0.0088,0.193,0,,43 (46),1,1,0.0505,0.255
CHILD Syndrome,SMPDB,2,TM7SF2;MVK,22 (22),0.0088,0.193,0,,43 (46),1,1,0.0505,0.255
Desmosterolosis,SMPDB,2,TM7SF2;MVK,22 (22),0.0088,0.193,0,,43 (46),1,1,0.0505,0.255
Hypercholesterolemia,SMPDB,2,TM7SF2;MVK,22 (22),0.0088,0.193,0,,43 (46),1,1,0.0505,0.255
Steroid Biosynthesis,SMPDB,2,TM7SF2;MVK,22 (22),0.0088,0.193,0,,43 (46),1,1,0.0505,0.255
Zoledronate Action Pathway,SMPDB,2,TM7SF2;MVK,22 (22),0.0088,0.193,0,,43 (47),1,1,0.0505,0.255
Ibandronate Action Pathway,SMPDB,2,TM7SF2;MVK,22 (22),0.0088,0.193,0,,43 (46),1,1,0.0505,0.255
NRF2 pathway,Wikipathways,4,SLC2A2;GSTM3;GSTM4;ME1,143 (143),0.0139,0.262,0,,0 (1),1,1,0.0139,0.262
Taurine and hypotaurine metabolism - Homo sapiens (human),KEGG,1,CSAD,11 (11),0.069,0.729,1,HMDB0000036,18 (22),0.136,1,0.0531,0.262
Butanoate metabolism,EHMN,2,ALDH7A1;ACSM1,23 (23),0.0096,0.201,0,,34 (36),1,1,0.0542,0.262
RHO GTPases activate PAKs,Reactome,2,PPP1R12A;MYLK,23 (23),0.0096,0.201,0,,6 (6),1,1,0.0542,0.262
2-Hydroxyglutric Aciduria (D And L Form),SMPDB,2,GFPT1;ABAT,23 (23),0.0096,0.201,0,,47 (49),1,1,0.0542,0.262
Homocarnosinosis,SMPDB,2,GFPT1;ABAT,23 (23),0.0096,0.201,0,,47 (49),1,1,0.0542,0.262
Hyperinsulinism-Hyperammonemia Syndrome,SMPDB,2,GFPT1;ABAT,23 (23),0.0096,0.201,0,,47 (49),1,1,0.0542,0.262
Succinic semialdehyde dehydrogenase deficiency,SMPDB,2,GFPT1;ABAT,23 (23),0.0096,0.201,0,,47 (49),1,1,0.0542,0.262
4-Hydroxybutyric Aciduria/Succinic Semialdehyde Dehydrogenase Deficiency,SMPDB,2,GFPT1;ABAT,23 (23),0.0096,0.201,0,,47 (49),1,1,0.0542,0.262
Glutamate Metabolism,SMPDB,2,GFPT1;ABAT,23 (23),0.0096,0.201,0,,47 (49),1,1,0.0542,0.262
Histidine degradation,INOH,2,HNMT;ALDH7A1,23 (23),0.0096,0.201,0,,26 (28),1,1,0.0542,0.262
Metabolism of carbohydrates,Reactome,6,PKLR;HEXA;GBE1;PYGL;KHK;GCK,284 (285),0.0102,0.213,0,,90 (157),1,1,0.0572,0.276
glycolysis,HumanCyc,2,PKLR;GCK,24 (25),0.0104,0.215,0,,17 (20),1,1,0.058,0.277
Glycogen metabolism,Reactome,2,GBE1;PYGL,24 (24),0.0104,0.215,0,,14 (16),1,1,0.058,0.277
Central carbon metabolism in cancer - Homo sapiens (human),KEGG,3,SLC2A2;EGFR;GCK,70 (70),0.0105,0.216,0,,35 (37),1,1,0.0584,0.278
Nucleobase catabolism,Reactome,2,UPB1;DPYS,36 (36),0.0226,0.375,1,HMDB0000273,78 (99),0.473,1,0.0593,0.281
Propanoate metabolism,INOH,2,ALDH7A1;ACSS2,25 (25),0.0113,0.231,0,,24 (26),1,1,0.0619,0.292
Insulin signaling pathway - Homo sapiens (human),KEGG,4,PKLR;FASN;PYGL;GCK,137 (137),0.012,0.244,0,,2 (4),1,1,0.0651,0.306
Plasma lipoprotein remodeling,Reactome,1,APOA2,26 (26),0.156,1,1,HMDB0010404,10 (16),0.0777,1,0.0655,0.307
protein <i>O</i>-[<i>N</i>-acetyl]-glucosylation,HumanCyc,1,OGT,2 (2),0.0129,0.248,0,,4 (5),1,1,0.0691,0.307
histamine degradation,HumanCyc,1,HNMT,2 (2),0.0129,0.248,0,,13 (13),1,1,0.0691,0.307
4-aminobutyrate degradation,HumanCyc,1,ABAT,2 (2),0.0129,0.248,0,,9 (9),1,1,0.0691,0.307
Enzymatic degradation of Dopamine by monoamine oxidase,Reactome,1,COMT,2 (2),0.0129,0.248,0,,9 (10),1,1,0.0691,0.307
Conjugation of phenylacetate with glutamine,Reactome,1,ACSM1,2 (2),0.0129,0.248,0,,7 (9),1,1,0.0691,0.307
Degradation of GABA,Reactome,1,ABAT,2 (2),0.0129,0.248,0,,8 (10),1,1,0.0691,0.307
&beta;-alanine degradation,HumanCyc,1,ABAT,2 (2),0.0129,0.248,0,,11 (11),1,1,0.0691,0.307
fatty acid elongation -- saturated,HumanCyc,1,FASN,2 (2),0.0129,0.248,0,,5 (5),1,1,0.0691,0.307
Sterols are 12-hydroxylated by CYP8B1,Reactome,1,CYP8B1,2 (2),0.0129,0.248,0,,9 (12),1,1,0.0691,0.307
choline degradation,HumanCyc,1,ALDH7A1,2 (2),0.0129,0.248,0,,7 (7),1,1,0.0691,0.307
Biosynthesis of maresin conjugates in tissue regeneration (MCTR),Reactome,1,GSTM4,2 (2),0.0129,0.248,0,,4 (9),1,1,0.0691,0.307
Biosynthesis of DHA-derived sulfido conjugates,Reactome,1,GSTM4,2 (2),0.0129,0.248,0,,7 (22),1,1,0.0691,0.307
Fatty Acid Biosynthesis,SMPDB,1,FASN,2 (2),0.0129,0.248,0,,31 (33),1,1,0.0691,0.307
Glutamate Glutamine metabolism,INOH,2,ABAT;ALDH7A1,27 (27),0.0131,0.25,0,,28 (34),1,1,0.0699,0.31
Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide_ LLO) and transfer to a nascent protein,Reactome,3,NPL;GFPT1;AMDHD2,77 (77),0.0136,0.258,0,,59 (82),1,1,0.072,0.318
alpha-linolenic acid (ALA) metabolism,Reactome,1,ACSL1,13 (13),0.081,0.765,1,HMDB0002183,23 (32),0.17,1,0.0729,0.32
Biosynthesis of DHA-derived SPMs,Reactome,1,GSTM4,17 (17),0.105,0.894,1,HMDB0002183,18 (75),0.136,1,0.0746,0.326
Drug Induction of Bile Acid Pathway,Wikipathways,1,SLC10A1,17 (17),0.105,0.894,1,HMDB0000036,18 (28),0.136,1,0.0746,0.326
rho cell motility signaling pathway,BioCarta,2,GSN;MYLK,32 (32),0.0181,0.329,0,,0 (0),1,1,0.0181,0.329
Gastric Cancer Network 2,Wikipathways,2,LBR;EGFR,32 (32),0.0181,0.329,0,,0 (0),1,1,0.0181,0.329
Lipid Metabolism Pathway,Wikipathways,2,FASN;ACSS2,29 (29),0.015,0.283,0,,8 (14),1,1,0.0781,0.34
Heroin metabolism,Wikipathways,0,,3 (3),1,1,1,HMDB0041812,2 (3),0.016,1,0.0823,0.352
ceramide signaling pathway,BioCarta,0,,33 (33),1,1,1,HMDB0013461,2 (2),0.016,1,0.0823,0.352
Peroxisomal lipid metabolism,Reactome,2,HACL1;NUDT7,30 (30),0.016,0.299,0,,38 (61),1,1,0.0823,0.352
mcalpain and friends in cell motility,BioCarta,2,EGFR;MYLK,30 (30),0.016,0.299,0,,3 (3),1,1,0.0823,0.352
Phenytoin (Antiarrhythmic) Action Pathway,SMPDB,2,COMT;MYLK,82 (82),0.0988,0.86,1,HMDB0009888,22 (22),0.163,1,0.0828,0.353
Chemical carcinogenesis - Homo sapiens (human),KEGG,3,GSTM3;GSTM4;UGT2A3,83 (83),0.0166,0.308,0,,57 (99),1,1,0.0847,0.359
Regulation of Actin Cytoskeleton,Wikipathways,4,PPP1R12A;EGFR;MYLK;GSN,151 (151),0.0166,0.308,0,,4 (5),1,1,0.0847,0.359
erk and pi-3 kinase are necessary for collagen binding in corneal epithelia,BioCarta,2,GSN;MYLK,31 (31),0.0171,0.313,0,,1 (1),1,1,0.0865,0.364
Folate metabolism,INOH,2,ALDH1L1;PKLR,31 (31),0.0171,0.313,0,,43 (46),1,1,0.0865,0.364
alpha-linolenic (omega3) and linoleic (omega6) acid metabolism,Reactome,1,ACSL1,13 (13),0.081,0.765,1,HMDB0002183,31 (42),0.223,1,0.0905,0.373
Metabolism of nucleotides,Reactome,3,CTPS1;UPB1;DPYS,102 (102),0.0285,0.438,1,HMDB0000273,125 (154),0.645,1,0.0917,0.373
Arginine Proline metabolism,INOH,2,ABAT;ALDH7A1,55 (55),0.0493,0.616,1,HMDB0000128,58 (68),0.377,1,0.0928,0.373
Androgen and estrogen biosynthesis and metabolism,EHMN,3,SLC10A1;SLCO2B1;AKR1D1,87 (87),0.0188,0.329,0,,53 (62),1,1,0.0936,0.373
Phospholipid Biosynthesis,SMPDB,0,,28 (28),1,1,2,HMDB0009888;HMDB0010404,27 (27),0.0192,1,0.095,0.373
Endothelin Pathways,Wikipathways,1,MYLK,33 (33),0.193,1,1,HMDB0009888,13 (13),0.0999,1,0.0955,0.373
acetate conversion to acetyl-CoA,HumanCyc,1,ACSS2,3 (3),0.0193,0.329,0,,6 (6),1,1,0.0955,0.373
UTP and CTP dephosphorylation I,HumanCyc,1,CTPS1,3 (3),0.0193,0.329,0,,15 (15),1,1,0.0955,0.373
Signaling by MST1,Reactome,1,HPN,3 (3),0.0193,0.329,0,,3 (3),1,1,0.0955,0.373
fatty acid &alpha;-oxidation III,HumanCyc,1,HACL1,3 (3),0.0193,0.329,0,,18 (23),1,1,0.0955,0.373
Enzymatic degradation of dopamine by COMT,Reactome,1,COMT,3 (3),0.0193,0.329,0,,10 (10),1,1,0.0955,0.373
Vitamins B6 activation to pyridoxal phosphate,Reactome,1,AOX1,3 (3),0.0193,0.329,0,,16 (18),1,1,0.0955,0.373
Intestinal hexose absorption,Reactome,1,SLC2A2,3 (3),0.0193,0.329,0,,3 (5),1,1,0.0955,0.373
Uptake and function of diphtheria toxin,Reactome,1,CD9,3 (3),0.0193,0.329,0,,2 (2),1,1,0.0955,0.373
taurine biosynthesis,HumanCyc,1,CSAD,3 (3),0.0193,0.329,0,,11 (11),1,1,0.0955,0.373
<i>N</i>-acetylglucosamine degradation I,HumanCyc,1,AMDHD2,3 (3),0.0193,0.329,0,,3 (5),1,1,0.0955,0.373
Phenylacetate Metabolism,SMPDB,1,ACSM1,3 (3),0.0193,0.329,0,,9 (9),1,1,0.0955,0.373
Electron transport from NADPH to Ferredoxin,Reactome,1,FDX1,3 (3),0.0193,0.329,0,,5 (7),1,1,0.0955,0.373
Erlotinib Action Pathway,SMPDB,1,EGFR,3 (3),0.0193,0.329,0,,4 (5),1,1,0.0955,0.373
Pyruvaldehyde Degradation,SMPDB,1,LDHD,3 (3),0.0193,0.329,0,,9 (9),1,1,0.0955,0.373
methylglyoxal degradation I,HumanCyc,1,LDHD,3 (3),0.0193,0.329,0,,10 (11),1,1,0.0955,0.373
Transport of vitamins_ nucleosides_ and related molecules,Reactome,1,SLCO2B1,44 (44),0.249,1,2,HMDB0000036;HMDB0000273,59 (63),0.0802,1,0.0981,0.382
Fluoropyrimidine Activity,Wikipathways,2,UPB1;DPYS,34 (34),0.0203,0.342,0,,11 (16),1,1,0.0996,0.385
Fatty acid beta-oxidation,Wikipathways,2,ACSL1;ACSS2,34 (34),0.0203,0.342,0,,32 (34),1,1,0.0996,0.385
Histidine metabolism,EHMN,2,ABAT;ALDH7A1,35 (35),0.0215,0.359,0,,43 (45),1,1,0.104,0.399
Glycogen Synthesis and Degradation,Wikipathways,2,GBE1;PYGL,36 (36),0.0226,0.375,0,,5 (6),1,1,0.108,0.399
Tyrosine metabolism - Homo sapiens (human),KEGG,2,COMT;AOX1,36 (36),0.0226,0.375,0,,58 (78),1,1,0.108,0.399
Fatty acyl-CoA biosynthesis,Reactome,2,FASN;ACSL1,37 (37),0.0238,0.389,0,,29 (42),1,1,0.113,0.399
Squalene and cholesterol biosynthesis,EHMN,2,TM7SF2;MVK,37 (37),0.0238,0.389,0,,38 (42),1,1,0.113,0.399
Alanine_ aspartate and glutamate metabolism - Homo sapiens (human),KEGG,2,GFPT1;ABAT,37 (37),0.0238,0.389,0,,25 (28),1,1,0.113,0.399
Glutathione conjugation,Reactome,2,GSTM3;GSTM4,37 (37),0.0238,0.389,0,,25 (31),1,1,0.113,0.399
T-Cell antigen Receptor (TCR) pathway during Staphylococcus aureus infection,Wikipathways,0,,63 (63),1,1,1,HMDB0009888,3 (3),0.024,1,0.113,0.399
resolvin D biosynthesis,HumanCyc,0,,2 (2),1,1,1,HMDB0002183,3 (5),0.024,1,0.113,0.399
aspirin triggered resolvin D biosynthesis,HumanCyc,0,,2 (2),1,1,1,HMDB0002183,3 (7),0.024,1,0.113,0.399
Sphingolipid de novo biosynthesis,Reactome,0,,41 (41),1,1,2,HMDB0013461;HMDB0006752,31 (35),0.0249,1,0.117,0.399
Arbutamine Action Pathway,SMPDB,1,MYLK,61 (61),0.328,1,1,HMDB0009888,10 (11),0.0777,1,0.119,0.399
Alprenolol Action Pathway,SMPDB,1,MYLK,61 (61),0.328,1,1,HMDB0009888,10 (11),0.0777,1,0.119,0.399
Muscle/Heart Contraction,SMPDB,1,MYLK,61 (61),0.328,1,1,HMDB0009888,10 (10),0.0777,1,0.119,0.399
Felodipine Action Pathway,SMPDB,1,MYLK,61 (61),0.328,1,1,HMDB0009888,10 (11),0.0777,1,0.119,0.399
Vitamin B6-dependent and responsive disorders,Wikipathways,1,ALDH7A1,4 (4),0.0257,0.398,0,,12 (19),1,1,0.12,0.399
Amino acid conjugation of benzoic acid,Wikipathways,1,ACSS2,4 (4),0.0257,0.398,0,,9 (11),1,1,0.12,0.399
Polyol Pathway,Wikipathways,1,KHK,4 (4),0.0257,0.398,0,,7 (8),1,1,0.12,0.399
PLCG1 events in ERBB2 signaling,Reactome,1,EGFR,4 (4),0.0257,0.398,0,,2 (2),1,1,0.12,0.399
MET Receptor Activation,Reactome,1,HPN,4 (4),0.0257,0.398,0,,3 (3),1,1,0.12,0.399
lysine degradation I (saccharopine pathway),HumanCyc,1,ALDH7A1,4 (4),0.0257,0.398,0,,16 (16),1,1,0.12,0.399
Dopamine clearance from the synaptic cleft,Reactome,1,COMT,4 (4),0.0257,0.398,0,,12 (13),1,1,0.12,0.399
fatty acid biosynthesis initiation,HumanCyc,1,FASN,4 (4),0.0257,0.398,0,,7 (9),1,1,0.12,0.399
UTP and CTP dephosphorylation II,HumanCyc,1,CTPS1,4 (4),0.0257,0.398,0,,11 (11),1,1,0.12,0.399
trehalose degradation,HumanCyc,1,GCK,4 (4),0.0257,0.398,0,,8 (8),1,1,0.12,0.399
Vitamin B6 metabolism,INOH,1,AOX1,4 (4),0.0257,0.398,0,,17 (17),1,1,0.12,0.399
Mitochondrial ABC transporters,Reactome,1,ABCB10,4 (4),0.0257,0.398,0,,5 (6),1,1,0.12,0.399
Intestinal absorption,Reactome,1,SLC2A2,4 (4),0.0257,0.398,0,,4 (8),1,1,0.12,0.399
Lipoic acid metabolism - Homo sapiens (human),KEGG,1,ACSM1,4 (4),0.0257,0.398,0,,5 (13),1,1,0.12,0.399
<i>N</i>-acetylglucosamine degradation II,HumanCyc,1,AMDHD2,4 (4),0.0257,0.398,0,,7 (9),1,1,0.12,0.399
ABC-family proteins mediated transport,Reactome,1,ABCB10,58 (58),0.315,1,1,HMDB0013461,11 (20),0.0852,1,0.124,0.399
Transport of small molecules,Reactome,4,ABCB10;APOA2;SLC2A2;SLCO2B1,641 (641),0.601,1,4,HMDB0000036;HMDB0010404;HMDB0000273;HMDB0013461,172 (219),0.0451,1,0.125,0.399
